	ongetwijfeld/adv	word/verb	doorsta/verb	bijzonder/adj	bekom/verb	bevrijd/verb	hoe/adj	groei_cijfer/noun	nog/adv	veiligheid_situatie/noun	klus/noun	noodzakelijk/adj	regering/noun	blijk/verb	Portugees/noun	bestrijding/noun	claim/noun	knok/verb	strijd/noun	voorspel/verb	verdedig/adj	oplossing/noun	behoorlijk/adj	reconstrueer/verb	koor/noun	rit/noun	cover/noun	schets/verb	kunstenaar/noun	demonstreer/verb	ervaar/verb	lijk/verb	op/adj	operatie/noun	leer/verb	perfect/adj	bereid/adj	zee/noun	clandestien/adj	post/noun	trek_aan/verb	altijd/adv	zelfs/adv	knot_gek/adj	begrijp/verb	al/adv	zorg/verb	beloof/verb	onderdeel/noun	Koerdisch/adj	dans/noun	echter/adv	parkoers/noun	definitie/noun	aandenken/noun	impasse/noun	opgenomen/adj	breng_op/verb	deelnemer/noun	god/noun	haal_uit/verb	zo/adv	reuze/adj	zijn/adj	brandweer/noun	voed/verb	vind/verb	meest/adj	begin/verb	beleef/verb	manoeuvreer/verb	moment/noun	tocht/noun	kwestie/noun	paar/noun	tijd/noun	sport/noun	zaak/noun	breng/verb	genoeg/adv	boekdeel/noun	uitslag/noun	positie/noun	prognose/noun	opdracht/noun	sprint/noun	het/noun	uiterst/adj	bel/noun	onderneem/verb	red/verb	publicitair/adj	kan/verb	tegenstander/noun	vreemde/noun	tafereel/noun	vang/verb	automobilist/noun	gijzelaar/noun	gedicht/noun	functioneer/verb	rente/noun	vrouw/noun	dreig/verb	avontuur/noun	opgaaf/noun	omgeving/noun	regelmatig/adj	toestand/noun	film/noun	binnenlands/adj	plotseling/adj	vracht_wagen/noun	kritiek/noun	duur/verb	ga_op/verb	verkeer/verb	toch/adv	verhaal/noun	zo/adj	ben/verb	dat/noun	opnieuw/adv	soms/adv	bestaan/noun	recent/adj	stand_DIM/noun	hulp/noun	ga_uit/verb	complex/adj	asymmetrische/adj	olie_prijs/noun	bespaar/verb	financieel/adj	woon/verb	knijp_dicht/verb	gewraakt/adj	dergelijk/adj	maak/verb	omstandigheid/noun	optie/noun	poging/noun	besluit/noun	even/adv	gemeente_kas/noun	overleef/verb	zie_uit/verb	gepaard/adj	talloos/adj	krakkemikkige/adj	stap/verb	doceer/verb	steeds/adv	trek/verb	situatie/noun	volk_raadpleging/noun	tref_aan/verb	gebied/noun	muzikaal/adj	stunt_werk/noun	leid/verb	meen/verb	blijf/verb	natuurlijk/adj	ambulanciers/noun	heel/adv	overhaast/adj	beschikbaar/adj	even/adj	warenhuis/noun	huidig/adj	voorbij/adj	koers/noun	enquête/noun	toer/noun	temeer/adv	exercitie/noun	luchtvaart/noun	ouverture/noun	kussen/noun	reis/noun	oversteek/noun	schipper/noun	slachtoffer/noun	vaak/adj	club/noun	herinner/verb	buig_om/verb	lijm/verb	standpunt/noun	wat/adv	minst/adj	onvoorspelbaar/adj	Brussels/adj	onderweg/adj	kracht/noun	weliswaar/adv	structuur/noun	iets/adv	onderneming/noun	onderwerp/noun	zeker/adv	angst/noun	chauffeur/noun	lever_op/verb	capriool/noun	president/noun	doel/noun
dans/noun	0.7113265	0.92603636	0.92829275	0.7604221	0.9003468	0.9591085	0.81008095	0.94161326	0.9495425	0.8595675	0.8774445	0.8324306	0.97056985	0.92643476	0.85340273	0.95299894	0.94742745	0.9674285	0.92376184	0.9006533	0.9058728	0.84990203	0.81498134	0.79180884	0.5959845	0.9919766	0.8202865	0.6501647	0.93820655	0.73328745	0.89273494	0.87244964	0.94957113	0.7791728	0.76172423	0.772592	0.99546516	0.88900167	0.9529168	0.97461826	0.9793127	0.78888977	0.8718267	0.70758563	0.86747885	0.93313736	0.74595505	0.95388526	0.7499162	0.92637396	0.0	0.8417425	0.8664141	0.51314616	0.9420533	0.879738	0.7689367	0.92538816	0.944861	0.9194309	0.89875543	0.7652452	0.8796945	0.9417568	0.9744344	0.94619805	0.9498218	0.7274792	0.8837808	0.78386486	0.9450819	0.84414256	0.8633195	0.8683466	0.94940776	0.9489281	0.3792069	0.8740696	0.73038226	0.8654302	0.95014876	0.9114425	0.98295856	0.8595674	0.8854351	0.8847749	0.92478454	0.7550347	0.93519604	0.9267047	0.95677173	0.75577015	0.8843284	0.9132491	0.89075416	0.6439012	0.8405285	0.96993864	0.93372935	0.74795836	0.84045076	0.9313306	0.91513264	0.96615016	0.79877555	0.9257277	0.8088757	0.8796106	0.8565346	0.5487491	0.9643749	0.9126714	0.9920589	0.911063	0.96957433	0.78755057	0.9469259	0.93410784	0.6383223	0.81267893	0.80359006	0.9282033	0.890829	0.6346228	0.76949406	0.913569	0.8181911	0.98381263	0.8631273	0.6304213	0.8410451	0.8299249	0.94918954	0.85299015	0.99421126	0.9509763	0.84525025	0.7537531	0.7628913	0.8772568	0.980907	0.9363144	0.94817585	0.5520479	0.9716002	0.9643959	0.94231844	0.64735234	0.7422677	0.8696009	0.97040474	0.41918367	0.7808329	0.9895062	0.82226765	0.8844355	0.9159947	0.9136005	0.5508084	0.85571456	0.64946723	0.9352732	0.8709626	0.8093262	0.9262989	0.78869617	0.902013	0.9391605	0.9286254	0.94597316	0.9044075	0.9377736	0.8588767	0.8712934	0.8179046	0.79856247	0.8732554	0.7830073	0.6152958	0.9871354	0.88012	0.9780726	0.85844636	0.9797668	0.63863164	0.91850215	0.8522072	0.9998836	0.8667171	0.9327716	0.81319046	0.9572585	0.6033057	0.9699055	0.89424336	0.80632657	0.8752765	0.5310042	0.8435891	0.83556956	0.67183626	0.9109862	0.83237743	0.96557665	0.71347797	0.7912719	0.9870994	0.95534736
echter/adv	0.5788888	0.7893331	0.7467911	0.6405492	0.82382476	0.86839706	0.7107655	0.6972325	0.6063595	0.58972144	0.59193814	0.54771304	0.7000433	0.6713798	0.76233643	0.74566925	0.65696216	0.6847892	0.79583085	0.7436862	0.7137699	0.5988611	0.5478301	0.88775456	0.9479466	0.8831683	0.89906347	0.8368187	0.91005886	0.87205	0.7538333	0.5425855	0.89472055	0.5810423	0.80703217	0.70028347	0.59921324	0.88499177	0.8845997	0.78411275	0.80702126	0.5381237	0.47446442	0.86934435	0.72571623	0.6390431	0.87613285	0.78963095	0.7779116	0.81996804	0.8417425	0.0	0.85831517	0.5615577	0.9367706	0.6239191	0.8657816	0.7181945	0.92015284	0.90777284	0.8288996	0.5186161	0.7105608	0.8538427	0.8788223	0.80512714	0.6189127	0.619609	0.8658506	0.8745834	0.7566335	0.70894486	0.86512846	0.7122211	0.78518426	0.70920444	0.81131524	0.7015724	0.8914765	0.5731743	0.8293524	0.8443473	0.8138977	0.588586	0.80713105	0.8749342	0.5584027	0.62904596	0.94613874	0.7856034	0.83248764	0.76314455	0.65753996	0.73659855	0.7285887	0.7186775	0.7332112	0.822419	0.7899798	0.86960447	0.73550797	0.75094193	0.870843	0.814315	0.7921892	0.6569117	0.8335443	0.7875752	0.654383	0.81901324	0.76861596	0.6698221	0.9194573	0.7232966	0.84136814	0.8362282	0.8013124	0.43859667	0.8463624	0.5553685	0.5574941	0.5022749	0.6999903	0.49073493	0.79168826	0.70639	0.8222115	0.8354507	0.74195325	0.59815884	0.8181414	0.7180573	0.85645145	0.63058674	0.85930276	0.8464025	0.69282293	0.5719595	0.800318	0.64318556	0.59761333	0.8146021	0.63196987	0.6723689	0.73820496	0.79113036	0.72565275	0.814561	0.7545471	0.835952	0.91889143	0.91737163	0.5577885	0.8404488	0.58882993	0.65619063	0.8412732	0.8240918	0.8385975	0.6936807	0.73305106	0.63317835	0.6378763	0.5399903	0.86657584	0.5774956	0.6321809	0.6411923	0.6725241	0.7688162	0.69354063	0.74815255	0.7597823	0.7292118	0.83076704	0.5978663	0.69661474	0.6532569	0.88603723	0.9455955	0.8712952	0.8467499	0.87420976	0.8033087	0.51563364	0.73711026	0.79256225	0.81010467	0.70626324	0.53672963	0.5748931	0.7968817	0.61360896	0.89837223	0.90586287	0.7321713	0.5993245	0.74019396	0.6934376	0.61420685	0.71197164	0.48053718	0.82638854	0.856915	0.73617756	0.7716044	0.746391	0.71517336
parkoers/noun	0.8750027	0.84816563	0.83126867	0.7744174	0.78634524	0.9928198	0.82132614	0.8995395	0.9115363	0.9224131	0.8374346	0.8824498	0.9692476	0.8618915	0.90508246	0.95525324	0.85514915	0.9070974	0.94399834	0.9004537	0.7852311	0.8698713	0.84594405	0.7594843	0.8091774	0.6948656	0.71946836	0.7278576	0.79935455	0.81847924	0.8350851	0.8541393	0.9152303	0.8623594	0.8517503	0.5963336	0.92933536	0.9268902	0.85411406	0.8155505	0.9218892	0.8345582	0.86514777	0.60157037	0.83477426	0.8312796	0.64280045	0.91464883	0.87461317	0.9451665	0.8664141	0.85831517	0.0	0.87027323	0.62688756	0.91298467	0.7971312	0.8260411	0.61088085	0.96000034	0.73679256	0.83426887	0.9265129	0.8962029	0.9882736	0.8910922	0.85612524	0.79907423	0.8862307	0.8312514	0.8607574	0.7902718	0.62686145	0.9400328	0.81930864	0.92656845	0.90766674	0.85218036	0.91625035	0.86178666	0.7421428	0.62955654	0.9184376	0.8594469	0.5707394	0.7324713	0.86134475	0.74032456	0.8952167	0.87948227	0.9884699	0.7808652	0.820596	0.903147	0.93424857	0.7323288	0.8364113	0.7445855	0.8983369	0.6968503	0.75249064	0.92983824	0.9495435	0.9901673	0.73467565	0.7379023	0.6357491	0.64762056	0.7428131	0.6672486	0.99045175	0.9477079	0.87698746	0.9332176	0.8558395	0.9382752	0.9061207	0.8447506	0.72599286	0.9064428	0.80088556	0.9233153	0.85997653	0.7550176	0.873995	0.8959141	0.66673946	0.9323958	0.93449926	0.76359713	0.94992244	0.9128446	0.84002715	0.9265254	0.93020916	0.7994538	0.92467636	0.82453763	0.7521044	0.63932955	0.82783425	0.90894514	0.8639296	0.85973537	0.9730356	0.8133897	0.76339984	0.8231722	0.89414847	0.8830084	0.87859833	0.9282586	0.9095067	0.884613	0.8005855	0.88311756	0.87922657	0.77510715	0.62534714	0.80750924	0.8975461	0.8120405	0.9052602	0.7919712	0.8302601	0.7739186	0.97545683	0.959601	0.8917242	0.84291196	0.9170168	0.8985023	0.7550483	0.81508106	0.7761317	0.6082057	0.71789527	0.9260125	0.6625518	0.9597531	0.76043177	0.8952498	0.9174581	0.9460678	0.8128091	0.9857994	0.91194135	0.9525658	0.950506	0.90915537	0.86061126	0.951692	0.73585963	0.90415967	0.57598	0.9313287	0.75719225	0.79727906	0.8617113	0.85768485	0.7855718	0.8606448	0.97425497	0.8616595	0.8658241	0.737649	0.9656349	0.8362173
definitie/noun	0.63401735	0.8772875	0.80488765	0.7601572	0.8561016	0.8975043	0.76032054	0.8301949	0.83624303	0.6026614	0.7592002	0.6315056	0.74105996	0.77985126	0.8086203	0.79587543	0.7974386	0.95422745	0.76466966	0.74840516	0.851659	0.7594078	0.6733211	0.92626834	0.86753935	0.9878278	0.9202537	0.7988421	0.90034443	0.743165	0.8540981	0.7150461	0.8731568	0.6739723	0.8366456	0.7258507	0.81940234	0.80973774	0.8385715	0.8469794	0.8906054	0.5719259	0.7507266	0.87669784	0.7645214	0.84163386	0.86673844	0.81973445	0.6772237	0.78103864	0.51314616	0.5615577	0.87027323	0.0	0.9338498	0.70315987	0.89926696	0.79859436	0.9566213	0.86002606	0.9196069	0.7290894	0.8952696	0.7913848	0.9393079	0.8792981	0.84546393	0.60704064	0.9286974	0.8134282	0.86290425	0.702542	0.82919836	0.7645588	0.8973777	0.8486229	0.5609184	0.7602059	0.85684013	0.85516435	0.9216568	0.77388406	0.7832217	0.61372685	0.77092123	0.87450105	0.76874405	0.5316127	0.9482194	0.80080205	0.87436414	0.7343929	0.77612746	0.71919644	0.74284756	0.69431925	0.72296023	0.91857135	0.8441089	0.7735009	0.7482764	0.8503186	0.9074149	0.82470787	0.73533225	0.90931535	0.67087257	0.8144521	0.64590144	0.73494613	0.72592676	0.83415735	0.9404829	0.7680524	0.91503125	0.8681826	0.81634986	0.8063936	0.7942648	0.7627054	0.6207678	0.7682227	0.8533327	0.5582235	0.712602	0.8491008	0.8626112	0.8777846	0.7112353	0.5294309	0.88603383	0.6272504	0.88511026	0.6365235	0.92868996	0.8612977	0.82639194	0.56426895	0.73820496	0.58455735	0.71437943	0.7235135	0.7678698	0.50499153	0.8594007	0.8032142	0.88511175	0.76739776	0.7029907	0.8321667	0.8801546	0.7797613	0.67446584	0.96586543	0.65981424	0.64126956	0.88725007	0.8308419	0.71886116	0.750111	0.65785635	0.7017027	0.602484	0.6565951	0.9652544	0.74092877	0.8111621	0.8701021	0.87736595	0.7943375	0.7863659	0.90942025	0.7196606	0.76998097	0.8343967	0.64809126	0.7985674	0.4791656	0.6933783	0.9859372	0.8728931	0.9567721	0.913362	0.8943843	0.4933641	0.842196	0.8974068	0.8592174	0.70892274	0.720845	0.8451269	0.8375342	0.5050392	0.9613459	0.94764954	0.68640137	0.7644177	0.66481376	0.7705437	0.6593741	0.5629889	0.7877031	0.7718276	0.9601185	0.7665628	0.7404498	0.8913829	0.85732925
aandenken/noun	0.88587487	0.9725485	0.7938475	0.9159731	0.6540318	0.99274665	0.967512	0.95969474	0.95107156	0.9120567	0.93502474	0.9687386	0.9987691	0.9729463	0.92381185	0.9748774	0.93881136	0.92081445	0.9469754	0.9814112	0.9679453	0.9791897	0.9589629	0.7989725	0.9242774	0.8457361	0.9398572	0.93409747	0.8856574	0.980287	0.8336284	0.91624266	0.9599401	0.9570285	0.765714	0.94208026	0.9456732	0.87463844	0.8199804	0.77745366	0.91906744	0.82937765	0.97427887	0.71633697	0.97724473	0.8768342	0.96866405	0.9197068	0.9173387	0.9803767	0.9420533	0.9367706	0.62688756	0.9338498	0.0	0.9788256	0.9593255	0.9862004	0.71771246	0.92381275	0.94663024	0.93921757	0.9093907	0.9827703	0.9967673	0.9544964	0.9082574	0.7355914	0.7766199	0.5864267	0.95878327	0.9166012	0.59302455	0.9554205	0.89273447	0.92172915	0.8244488	0.9551872	0.9634814	0.9135196	0.9635388	0.6261879	0.93825823	0.93441224	0.6823064	0.9216906	0.93878615	0.9619085	0.94829583	0.810809	0.97122973	0.8325213	0.9180117	0.9920969	0.7907749	0.9054458	0.92141867	0.9402109	0.9454113	0.87553567	0.9897085	0.99535066	0.9890473	0.9867103	0.7508752	0.8892733	0.9685303	0.75595295	0.9535006	0.8951236	0.8790297	0.90999734	0.9121222	0.96430737	0.8417699	0.979534	0.95575875	0.94556737	0.87894964	0.9802496	0.85287327	0.95379853	0.9769017	0.9107783	0.91625655	0.93298435	0.71656775	0.93681407	0.962376	0.9062652	0.9056546	0.9816115	0.8432811	0.8931358	0.9468415	0.8123121	0.977892	0.87247133	0.8049736	0.8767574	0.9707583	0.9937556	0.97202814	0.9530582	0.99535656	0.84418845	0.9342348	0.933087	0.83623374	0.8538388	0.7779776	0.83392006	0.9420788	0.7973145	0.92773235	0.9049581	0.97721267	0.9077773	0.72589326	0.90713024	0.90943164	0.9693074	0.96481687	0.90234196	0.83906955	0.81708467	0.92091054	0.9744651	0.92886966	0.98696107	0.9791216	0.84170413	0.984408	0.79312724	0.9999793	0.8524159	0.962302	0.9196802	0.8870213	0.9982341	0.71795475	0.9494601	0.99712974	0.99530256	0.8563781	0.90598536	0.9161273	0.9890643	0.95633924	0.9444102	0.96453947	0.9912059	0.8821895	0.9400968	0.6127348	0.9533686	0.9378241	0.9423306	0.979179	0.9382495	0.90729743	0.94074905	0.98127097	0.91222167	0.92650247	0.8729139	0.9627738	0.85703367
impasse/noun	0.7336251	0.66140306	0.93874633	0.81660074	0.9002496	0.7101723	0.7987025	0.8089224	0.71117127	0.7930121	0.8329083	0.71576995	0.6267209	0.9070304	0.8475015	0.825799	0.71149004	0.8976525	0.8550814	0.8856098	0.8952823	0.71621096	0.7916129	0.9412035	0.8771311	0.8591736	0.9632696	0.853783	0.8642269	0.88887334	0.85691655	0.7850723	0.95079976	0.6394968	0.8640436	0.73601365	0.74525326	0.897404	0.857717	0.9096143	0.9773711	0.7961824	0.7852627	0.8952702	0.8667157	0.7817832	0.927284	0.70017886	0.89715564	0.7360504	0.879738	0.6239191	0.91298467	0.70315987	0.9788256	0.0	0.9663017	0.8576813	0.9819876	0.90786743	0.96753603	0.804479	0.9118114	0.93240654	0.80341613	0.94547665	0.77287805	0.84970015	0.962116	0.9416699	0.93108296	0.7846222	0.7383542	0.78629816	0.80775565	0.76867723	0.93398774	0.67751825	0.8366194	0.76407146	0.8780653	0.9766472	0.4627282	0.8780732	0.8597924	0.88785213	0.852378	0.65972173	0.94891614	0.7293124	0.68612397	0.73628426	0.6658602	0.7582506	0.7827516	0.76596695	0.81026405	0.84328	0.5408344	0.95652676	0.8596237	0.86463255	0.7712932	0.80898184	0.8305306	0.7768861	0.769233	0.89883935	0.45276648	0.85567373	0.862414	0.84784436	0.84782934	0.79575515	0.9179315	0.93789357	0.7991952	0.81452787	0.81132925	0.877168	0.8920825	0.8417779	0.7445708	0.7427035	0.75390327	0.9320477	0.93076575	0.81291455	0.9503472	0.76202077	0.83245677	0.75454086	0.9114049	0.64564717	0.99381137	0.9633007	0.89072907	0.7956931	0.9514225	0.6117898	0.87776256	0.6948749	0.84112084	0.7454809	0.808774	0.70788586	0.95500904	0.93641376	0.7772047	0.87426937	0.84476936	0.95610124	0.74199617	0.9906209	0.39316034	0.7458812	0.94185275	0.86832	0.9220942	0.79435146	0.89976966	0.7321422	0.807876	0.8608354	0.8278269	0.8037722	0.69937456	0.9069319	0.7714385	0.917469	0.8833773	0.9204287	0.8404494	0.90017855	0.9272823	0.7646406	0.9075796	0.6674788	0.8586917	0.85735166	0.7830945	0.9044066	0.7859638	0.6119062	0.7597141	0.6722398	0.8515426	0.93894005	0.80185574	0.78557605	0.8325101	0.90318775	0.87061054	0.89776886	0.8814558	0.8317488	0.8642576	0.7466641	0.85465455	0.77334434	0.85642797	0.7199656	0.7990868	0.75194013	0.91961676	0.91509044	0.6284181	0.8569432
opgenomen/adj	0.9126772	0.9015103	0.94060946	0.753912	0.96709067	0.9763386	0.8803282	0.89865977	0.8857698	0.8944769	0.86940175	0.8783996	0.96788025	0.7211369	0.88264203	0.8830707	0.97968644	0.9490449	0.85286444	0.92124254	0.86419713	0.82665265	0.79602563	0.74977916	0.9009812	0.91629547	0.6314856	0.5712924	0.7797082	0.8932207	0.83180594	0.8457223	0.98395944	0.8250685	0.82944036	0.70698965	0.93834716	0.92428654	0.8967714	0.9216599	0.96099204	0.9318541	0.7970989	0.894771	0.921947	0.92754996	0.92684734	0.87570965	0.8728478	0.8258894	0.7689367	0.8657816	0.7971312	0.89926696	0.9593255	0.9663017	0.0	0.84073734	0.8093432	0.9827252	0.87972957	0.8610399	0.8963742	0.9299935	0.98772573	0.8642922	0.92913955	0.60415745	0.8174325	0.8983307	0.8771309	0.89495885	0.9447055	0.77264047	0.77860606	0.9817214	0.8919069	0.792549	0.69078326	0.77163327	0.7635192	0.9146235	0.93136644	0.8615491	0.78699243	0.95300233	0.9254956	0.7436317	0.94681513	0.9335407	0.95470625	0.83844703	0.95561546	0.987648	0.9214947	0.91250014	0.8824121	0.930415	0.98751664	0.5951234	0.8722597	0.92272	0.899171	0.9393908	0.9296068	0.8458924	0.8415452	0.8038171	0.90110403	0.67988735	0.9161074	0.9164995	0.9821824	0.9289369	0.95642346	0.8129478	0.9130298	0.9387796	0.5775057	0.87986916	0.8245768	0.87659764	0.9058096	0.8040352	0.94855654	0.7088196	0.8301907	0.9507583	0.97492325	0.76006114	0.9192797	0.90129894	0.86340576	0.90891016	0.8833098	0.9521709	0.6432641	0.76564825	0.7400471	0.888087	0.85335505	0.8772949	0.87901336	0.8371575	0.9863355	0.9098981	0.9040523	0.85981005	0.6619012	0.95583206	0.9843625	0.82947797	0.8477099	0.9632485	0.8698535	0.7844322	0.8314266	0.8166693	0.64869666	0.8671244	0.8986554	0.9116151	0.9192752	0.81781435	0.9317136	0.8508448	0.934914	0.8148475	0.97869366	0.9364675	0.89808506	0.95431393	0.8649653	0.7492069	0.9360373	0.8685819	0.8834092	0.85198116	0.9469606	0.9710239	0.9348126	0.9535297	0.9034632	0.91616195	0.7729777	0.9517182	0.79566175	0.8733084	0.88518465	0.9120358	0.9220606	0.9447579	0.78453493	0.95820695	0.89509803	0.9552487	0.72227216	0.73320776	0.890131	0.81362534	0.507278	0.86571693	0.93214	0.9611226	0.71365786	0.8131034	0.9794134	0.99480355
breng_op/verb	0.8361895	0.84292805	0.70384455	0.8417711	0.84384596	0.7864665	0.82585996	0.7940825	0.80126405	0.953508	0.9146793	0.71868867	0.8086243	0.8569372	0.9407554	0.8887466	0.8404038	0.76512885	0.92624176	0.78013086	0.8501768	0.8329939	0.80909145	0.81090486	0.9978194	0.9161781	0.9716722	0.7840558	0.9451423	0.84892017	0.79334605	0.7208078	0.8090832	0.80385786	0.81973827	0.85905796	0.7208979	0.92636013	0.91589147	0.94336665	0.79834443	0.86601144	0.7807034	0.7682309	0.6907629	0.8563543	0.7453252	0.888328	0.838665	0.9737952	0.92538816	0.7181945	0.8260411	0.79859436	0.9862004	0.8576813	0.84073734	0.0	0.8965492	0.9365776	0.6781286	0.8541614	0.9074249	0.76403564	0.95577526	0.84606296	0.75567514	0.7269759	0.90292424	0.9207834	0.7624701	0.83913046	0.9180016	0.87646323	0.82888395	0.8678958	0.88522786	0.86127377	0.8773522	0.841354	0.9264466	0.9322617	0.9099061	0.8723276	0.9585642	0.94959384	0.84131074	0.73038757	0.96081436	0.86695683	0.72605896	0.8380444	0.7346004	0.7806573	0.8856081	0.93032616	0.71666193	0.6607663	0.8443778	0.9429688	0.7985252	0.66595924	0.9293904	0.7945074	0.85708594	0.87074614	0.8992017	0.8121784	0.86664057	0.8142388	0.8995413	0.913616	0.9159716	0.86774904	0.7844011	0.9439589	0.76421374	0.6894383	0.9088388	0.8682373	0.79071355	0.85501873	0.805045	0.7296108	0.92337817	0.77920526	0.8705332	0.86264	0.6587155	0.80867875	0.93299615	0.8199699	0.67736554	0.7591096	0.95434344	0.8639785	0.805184	0.6797478	0.651114	0.76721084	0.878226	0.8703888	0.74723625	0.872444	0.6849736	0.6728462	0.7508037	0.7683689	0.8475522	0.93038446	0.978419	0.9695182	0.7996418	0.9272715	0.8259928	0.8222918	0.87229	0.814276	0.84224397	0.7811432	0.774805	0.724517	0.69706684	0.74772453	0.9824209	0.7672536	0.7930331	0.92750126	0.8587684	0.8304782	0.73008525	0.92715883	0.82105225	0.9042548	0.8762648	0.761648	0.80125135	0.8482852	0.93136066	0.85970974	0.92023224	0.97949773	0.8946013	0.9051119	0.77715546	0.8508121	0.8646788	0.65315735	0.92377305	0.7267641	0.7810879	0.7862332	0.70975935	0.9621929	0.8049948	0.7848342	0.74393165	0.8596198	0.6802591	0.84310955	0.8165345	0.80135715	0.86217237	0.9436173	0.6150888	0.8841216	0.8823434	0.7822561
deelnemer/noun	0.8706029	0.92213464	0.8278551	0.88829184	0.8871965	0.97393006	0.94203144	0.94457686	0.93212354	0.9881343	0.9364869	0.9594617	0.95134383	0.7509383	0.85609233	0.99374944	0.9864135	0.9197261	0.9993308	0.6812613	0.9364548	0.9689163	0.86225265	0.7602981	0.98585445	0.36949754	0.9449494	0.92601174	0.88807696	0.96449375	0.90467983	0.9264819	0.9890131	0.97485816	0.74439764	0.7938434	0.97774607	0.83225477	0.8294822	0.87517357	0.9115907	0.89694655	0.9111927	0.8878147	0.9536516	0.89583933	0.9043707	0.9504133	0.8569034	0.99576664	0.944861	0.92015284	0.61088085	0.9566213	0.71771246	0.9819876	0.8093432	0.8965492	0.0	0.9621701	0.95272523	0.91570514	0.84245205	0.9212692	0.9881769	0.96173465	0.9680285	0.8563094	0.7279831	0.7780926	0.8831692	0.9276878	0.65241754	0.9999945	0.8738687	0.9031375	0.89602	0.9976616	0.9311868	0.9132075	0.6444193	0.51970553	0.982786	0.7342646	0.77155113	0.7783129	0.9937481	0.9214943	0.8825664	0.7830051	0.9818848	0.8918	0.92342466	0.92976505	0.9357595	0.932922	0.8483943	0.8181292	0.89185876	0.8779265	0.9641498	0.9764322	0.93718725	0.99611074	0.80621994	0.8404385	0.886537	0.73524415	0.9916987	0.94715554	0.9700243	0.9466362	0.8692012	0.9374471	0.7858717	0.98155314	0.9913624	0.949257	0.92703384	0.99625444	0.9047868	0.9289677	0.9113898	0.9262426	0.99107283	0.65957963	0.73567134	0.93479943	0.8780893	0.9285894	0.96337533	0.9926356	0.83772117	0.97519064	0.9504332	0.7924136	0.89342445	0.82124054	0.83562076	0.9544753	0.95814705	0.99600756	0.98006237	0.9359106	0.97862977	0.7988354	0.9393376	0.9567096	0.8554618	0.946907	0.8678535	0.8923649	0.96706694	0.85019344	0.9774267	0.69553435	0.984862	0.90474474	0.7828318	0.9441048	0.8672877	0.9654877	0.9632623	0.95442444	0.8282442	0.9028319	0.93929714	0.9725971	0.9277695	0.90296006	0.9849488	0.8994718	0.8777498	0.567596	0.9749408	0.79222536	0.77550244	0.94736123	0.8966669	0.9898641	0.8083359	0.8741717	0.8495116	0.94727844	0.92274857	0.94986385	0.9630089	0.8175292	0.97453517	0.9934252	0.9231119	0.9143066	0.73579156	0.9426415	0.6500365	0.9226229	0.91578156	0.9752625	0.93032473	0.8657684	0.8745446	0.8927021	0.9656916	0.84125257	0.80648965	0.84021884	0.9816526	0.85085297
god/noun	0.9163151	0.8492999	0.9035679	0.85326004	0.95102584	0.8664681	0.73867166	0.9630996	0.92784595	0.9633669	0.88425714	0.80604124	0.883935	0.97359484	0.89258075	0.85822785	0.94027394	0.77219236	0.68772525	0.9269878	0.89089316	0.9393816	0.9355626	0.87712234	0.84466773	0.9899256	0.9215126	0.8477986	0.88099855	0.8702238	0.5771685	0.90252924	0.97206247	0.92802715	0.772634	0.89819664	0.93267787	0.7683069	0.8161509	0.9802895	0.9754882	0.8837303	0.8670447	0.9324507	0.8139051	0.9279361	0.9304005	0.7787475	0.88748807	0.912686	0.9194309	0.90777284	0.96000034	0.86002606	0.92381275	0.90786743	0.9827252	0.9365776	0.9621701	0.0	0.97660315	0.8063105	0.8935	0.96839845	0.81460863	0.8277581	0.98749393	0.94385153	0.9291395	0.8482967	0.9313555	0.94018245	0.93029803	0.91381466	0.9647413	0.95149976	0.900805	0.93136156	0.91467977	0.908006	0.9028714	0.9920737	0.9033657	0.9657139	0.8173426	0.95586795	0.90328085	0.8676748	0.95165694	0.9547099	0.71456087	0.884884	0.7967032	0.86249304	0.8384056	0.9323956	0.9126008	0.9251092	0.8544903	0.87190676	0.9345092	0.96901107	0.80309886	0.96912473	0.90938807	0.9118408	0.8441076	0.92650235	0.93749034	0.9521385	0.96793026	0.8289772	0.97322637	0.9249401	0.95175254	0.9286362	0.92408293	0.8712875	0.8493804	0.8856359	0.87001276	0.8864258	0.9241477	0.8340518	0.5547063	0.9705982	0.9479844	0.69876015	0.882525	0.8811214	0.87809724	0.95477	0.985397	0.8819156	0.9242443	0.94029963	0.9354751	0.8383961	0.98174566	0.93655837	0.98036873	0.9149785	0.99030405	0.9304632	0.96117395	0.81377065	0.9370854	0.81418097	0.8722399	0.8464567	0.9810405	0.9461069	0.9365381	0.986878	0.86582494	0.8950371	0.9751471	0.9196243	0.87681764	0.94048476	0.7751578	0.8544949	0.95775557	0.8276781	0.8472869	0.8862215	0.98433566	0.86303896	0.9827679	0.9573677	0.96621376	0.96103424	0.98780465	0.9601502	0.9667566	0.8543979	0.9070841	0.85837936	0.8596961	0.9654736	0.9291881	0.88970053	0.6479118	0.8196798	0.8566276	0.77900136	0.7618953	0.9154102	0.9519679	0.9349339	0.91763276	0.9568385	0.88763577	0.9812864	0.8961995	0.60566103	0.89815617	0.88396066	0.93468684	0.9368582	0.9446347	0.9261764	0.75306594	0.91179883	0.9432126	0.96254605	0.9118104	0.93789595
