	kwetsuur/noun	gezag/noun	voldoende/adv	kom_terug/verb	Amsterdams/adj	cabaretier/noun	ben/verb	samenleving/noun	olie_prijs/noun	thuisploeg/noun	tijdig/adj	36-jarige/adj	onbemand/adj	laat/verb	ziekte/noun	golfer/noun	eveneens/adv	dien/verb	water_kanon/noun	krachtig/adj	enigszins/adv	kerk_toren/noun	Amerikaans/adj	meteen/adv	word/verb	waarschijnlijk/adj	Champions/noun	populatie/noun	lies_blessure/noun	water_kwaliteit/noun	aandeel_beurs/noun	help/verb	vanochtend/adv	democratie/noun	probeer/verb	nauwelijks/adv	wereld_gemeenschap/noun	misstap/noun	meer/adv	rij_richting/noun	tijd/noun	systeem/noun	bevolking_groep/noun	veiligheid/noun	naai/verb	schade/noun	doelman/noun	norm/noun	hart_operatie/noun	goed/adj	woning/noun	wonderbaarlijk/adj	politiek/noun	gemeente/noun	euvel/noun	staat/noun	wegdek/noun	veerkrachtig/adj	snel/adj	onmiddellijk/adj	weeg/verb	verbetering/noun	fiets/noun	geschonden/adj	vervolgens/adv	paars_wit/adj	moet/verb	geloof/noun	licht/adj	schouder_blessure/noun	reputatie/noun	situatie/noun	help_mee/verb	toestand/noun	gebied/noun	kosten/noun	opnieuw/adv	orde/noun	alles/noun	zodanig/adj	onafhankelijkheid/noun	oud/adj	lijk/verb	thuis/adv	afgelopen/adj	verbeter/verb	kliniek/noun	kan/verb	geraakt/adj	patiënt/noun	mogelijk/adj	gebouw/noun	wil/verb	economie/noun	bezoeker/noun	niet/adv	voorlopig/adj	trauma/noun	letsel/noun	eventueel/adj	allicht/adv	reliëf/noun	herneem/verb	beurs_fonds/noun	contract_uur/noun	consumentenvertrouwen/noun	pas_aan/verb	rust/noun	griep_aanval/noun	eer/noun	echter/adv	nog/adv	kiezer/noun	fout_DIM/noun	zuiverheid/noun	fonds/noun	evenwicht/noun	koers_val/noun	oorspronkelijk/adj	spel_maker/noun	breuk/noun	momenteel/adj	middag/noun	contact/noun	zal/verb	stijl/noun	ingreep/noun	lever_in/verb	wat/adv	voet_blessure/noun	effect_beurs/noun	operatie/noun	autonomie/noun	vanmiddag/adv	volk/noun	mede/adv	markt/noun	ere/noun	aan/adj	electrisch/adj	enkel_blessure/noun	gezondheid_probleem/noun	glorie/noun	ploeg/noun	strand/verb	knie_operatie/noun	geleidelijk/adj	helemaal/adv	op_doffer/noun	middenvelder/noun	iets/adv	net/adv	tijdelijk/adj	blijk/verb	maand/noun	weer/adv	leiding/noun	winstwaarschuwing/noun	ziekenhuis/noun	pas/adv	spectaculair/adj	laat/adj	intussen/adv	natuur/noun	opening_fase/noun	opereer/verb	gisterenavond/adv	voldoende/adj	lever/noun	terug/adv	slecht/adj	redelijk/adj	land/noun	vergeef/verb	vrijwel/adv	geloofwaardigheid/noun	geheel/adj	installatie/noun	griep/noun	bilateraal/adj	balans/noun	vanzelf/adv	sars/noun	blessure/noun	traditie/noun	kraan/noun	gisteren/adv	normaal/adj	patiënte/noun	val_partij/noun	dak/noun	termijn/noun	sluit_post/noun	muur/noun	nodig/adj	vertrouwen/noun	volledig/adj	onderhoud/verb
politiek/noun	0.93439555	0.45216393	0.793365	0.9182354	0.8996306	0.93174946	0.8452431	0.45566285	0.8698868	0.96158	0.93610877	0.90988576	0.9323191	0.9003874	0.9847229	0.8802495	0.8878693	0.6929823	0.9945986	0.7292441	0.88707834	0.9839645	0.66158676	0.92114335	0.88015664	0.8221135	0.95864195	0.88360465	0.9517236	0.94540936	0.8060162	0.8297028	0.9204874	0.3342957	0.8405189	0.8608217	0.64801216	0.95687616	0.8207293	0.98008156	0.90899944	0.7136754	0.6674574	0.7039809	0.9351383	0.8331876	0.91555893	0.6340942	0.95159143	0.8904952	0.9582524	0.9169395	0.0	0.90317017	0.92308843	0.5797749	0.95254034	0.72461945	0.89146554	0.872704	0.809126	0.8584517	0.96555847	0.63622665	0.8570106	0.9821781	0.8447765	0.38561684	0.92986584	0.93328327	0.7482333	0.939995	0.8611181	0.817817	0.8433224	0.9412882	0.84925294	0.7998767	0.840552	0.6917936	0.5620314	0.8321196	0.81170106	0.95955527	0.89193857	0.8148896	0.93123984	0.8924853	0.81766343	0.913011	0.9022225	0.8933035	0.8537011	0.624661	0.9676703	0.8680792	0.87978864	0.8794242	0.93910694	0.8883851	0.93495977	0.9295872	0.90163636	0.9025531	0.97992295	0.7443305	0.8112365	0.9199933	0.9041869	0.8720581	0.8188583	0.9148081	0.47460693	0.97339153	0.5126055	0.8768028	0.7745419	0.9215219	0.78462344	0.9533559	0.8330173	0.89494306	0.9418317	0.9046298	0.8091303	0.8059944	0.8986826	0.9029002	0.80420685	0.9342989	0.8420431	0.8451681	0.7078783	0.86750364	0.5561607	0.87523097	0.7264528	0.87448156	0.9035263	0.9670214	0.9305369	0.95383525	0.9044806	0.9079339	0.97548896	0.972645	0.77702576	0.8923533	0.95000947	0.9876307	0.90460277	0.9600053	0.90965	0.87378764	0.9696869	0.8442391	0.8333335	0.89277524	0.93700135	0.9611718	0.93413943	0.95187926	0.88159376	0.7643845	0.9894317	0.8573172	0.9559142	0.8726326	0.92171144	0.90311664	0.84981424	0.82729864	0.76152575	0.8942899	0.844575	0.40065575	0.72474205	0.95062816	0.97356987	0.9228987	0.8533684	0.6843667	0.8823448	0.93905395	0.6498979	0.94623137	0.9231944	0.8411193	0.94874024	0.94593614	0.97091734	0.80613244	0.9056313	0.9803603	0.75786686	0.51852036	0.8513461	0.83392894
gemeente/noun	0.96195596	0.86214936	0.8876462	0.9735931	0.96159995	0.9821644	0.8807986	0.87620693	0.8613751	0.98037386	0.77036643	0.89301044	0.841312	0.88093066	0.9353405	0.98085815	0.87644464	0.7400209	0.91054636	0.9449712	0.8764256	0.6520132	0.93729067	0.95732296	0.6495647	0.89207834	0.9716119	0.8646934	0.9392263	0.91475713	0.96983004	0.7290876	0.9488746	0.81973374	0.8525113	0.8876537	0.8896712	0.91533	0.8581254	0.87069684	0.9043026	0.7588879	0.78992164	0.7409555	0.90227515	0.741891	0.9554345	0.8636812	0.8861979	0.87239605	0.60987127	0.9396832	0.90317017	0.0	0.79458225	0.76966476	0.7436596	0.96568614	0.8493731	0.87724316	0.8606514	0.80739456	0.9285174	0.94724065	0.8941635	0.9607607	0.68367624	0.9498749	0.9487737	0.9585983	0.9418827	0.79800665	0.7013247	0.8143109	0.69670105	0.56485856	0.9023047	0.8833443	0.86813647	0.8310516	0.64916354	0.87826645	0.9292067	0.90131116	0.94548565	0.7150198	0.92433053	0.7347802	0.9235413	0.71258867	0.7176435	0.5685532	0.6022619	0.8896543	0.9495196	0.8360956	0.8711639	0.9565061	0.9436886	0.6598204	0.87424827	0.92867756	0.97973245	0.9570211	0.9852849	0.9505307	0.7097826	0.9595944	0.95864284	0.98363996	0.8744029	0.85930246	0.9138466	0.95256877	0.82077926	0.89618343	0.8723104	0.95915484	0.8044522	0.9771856	0.9646693	0.79973954	0.94327635	0.76089215	0.67350566	0.9096126	0.77656996	0.8101382	0.85061336	0.9255909	0.9665833	0.806075	0.6776476	0.95819825	0.83424085	0.94894236	0.9126615	0.9315293	0.93057084	0.8780456	0.93235886	0.84778035	0.90943635	0.9443283	0.981628	0.93068206	0.8393747	0.914025	0.97962886	0.9790667	0.9212958	0.9903367	0.72426766	0.91365653	0.97991157	0.9457096	0.91557246	0.93396044	0.89354694	0.9409688	0.92614776	0.9578115	0.71408767	0.80855215	0.9713493	0.87377167	0.7993133	0.8132646	0.9075133	0.9116642	0.859416	0.8138484	0.8383944	0.95526993	0.9166222	0.92671764	0.90690714	0.62565315	0.9551001	0.74499834	0.8875678	0.92143613	0.95241445	0.95465046	0.94270974	0.90249765	0.9686905	0.8564367	0.9263421	0.94290817	0.73334754	0.73310065	0.8798101	0.84677064	0.81317145	0.9638191	0.6455214	0.7383623
euvel/noun	0.80539364	0.849243	0.77178204	0.73784894	0.954163	0.90434057	0.69168067	0.8568803	0.7855124	0.7614602	0.81856006	0.94947505	0.8349712	0.7227706	0.7906953	0.8901471	0.9035815	0.7646204	0.8281431	0.76832193	0.827023	0.9284814	0.95915884	0.80630374	0.56347275	0.6926943	0.9483129	0.5789184	0.70432305	0.8730794	0.819418	0.7220113	0.8915502	0.8920961	0.79003096	0.81639355	0.7526676	0.80825037	0.74297684	0.7484387	0.7929237	0.7252877	0.83754677	0.8207822	0.88628435	0.7684344	0.87758845	0.8946204	0.77888334	0.7934422	0.7326016	0.78676754	0.92308843	0.79458225	0.0	0.9133763	0.74857545	0.7932179	0.69242823	0.79913056	0.86400115	0.78507245	0.8264505	0.86272293	0.767898	0.8961391	0.6901258	0.9601977	0.89234823	0.81071365	0.92032206	0.7008765	0.8521786	0.81581134	0.8808502	0.712355	0.75291383	0.63841474	0.57593375	0.764833	0.92709213	0.9177382	0.68164575	0.8187731	0.89590406	0.76386017	0.80098563	0.5781217	0.8197135	0.7252548	0.6313455	0.6838108	0.77688867	0.8557044	0.80768716	0.55890083	0.8088876	0.905544	0.8581716	0.7348839	0.76133764	0.8730692	0.81529474	0.8538928	0.8787299	0.86835355	0.65018624	0.798832	0.8379618	0.9500116	0.5752353	0.68909985	0.8514367	0.8347554	0.8832919	0.8843621	0.7373891	0.80350137	0.9083887	0.901766	0.86993814	0.86979985	0.7412035	0.8697965	0.5977552	0.70630217	0.6239833	0.7562715	0.69045615	0.7527729	0.91038465	0.7103871	0.911396	0.801638	0.92223084	0.8374194	0.8233557	0.8668443	0.8675855	0.841174	0.6839373	0.728343	0.86652946	0.8690866	0.8469443	0.72323316	0.8480525	0.75817454	0.79705894	0.9115544	0.7873905	0.8474006	0.72235566	0.7431855	0.8631376	0.6522536	0.76916337	0.87637055	0.8357805	0.7432581	0.79919374	0.7856081	0.76162815	0.87033856	0.707118	0.7250345	0.7611922	0.7103908	0.7688687	0.69103676	0.9533007	0.7156563	0.9143425	0.8541752	0.77575517	0.8427846	0.845685	0.7899983	0.85034114	0.87771344	0.80529815	0.73287725	0.8688008	0.7790117	0.8992237	0.7123649	0.88981545	0.7438706	0.8805614	0.8470805	0.8388111	0.69451815	0.84959984	0.91342235	0.64417446	0.844496	0.769536	0.89591515
staat/noun	0.9484749	0.6168729	0.9218246	0.9476372	0.936793	0.93314797	0.79643863	0.5981093	0.88546926	0.9806889	0.8957001	0.9266007	0.7871947	0.8743557	0.9773836	0.8561853	0.861972	0.58051443	0.9580505	0.7119764	0.94492173	0.87752163	0.6881734	0.9137781	0.7699854	0.9116833	0.9787458	0.80814457	0.9816981	0.8099704	0.8020119	0.8407085	0.91646034	0.53862363	0.89113325	0.856862	0.70776075	0.9823239	0.9176122	0.76823664	0.92488074	0.74433184	0.5766556	0.767382	0.8572351	0.7467916	0.9692309	0.7628912	0.97135586	0.79297245	0.8147519	0.84262943	0.5797749	0.76966476	0.9133763	0.0	0.6315558	0.8123745	0.85481286	0.85408264	0.8966974	0.7949049	0.90962803	0.8245619	0.8777577	0.9517848	0.8147388	0.6083268	0.9508471	0.9591048	0.7170632	0.836213	0.89831984	0.5383135	0.6356621	0.8543978	0.90365267	0.7360263	0.8800549	0.72128946	0.60131943	0.86320925	0.88400686	0.98229873	0.89476514	0.7466493	0.92300713	0.87775284	0.90124416	0.88783395	0.8333118	0.7042317	0.79050684	0.65823364	0.96029586	0.8793977	0.84755546	0.9250042	0.95611167	0.8997422	0.9458977	0.7096323	0.8641023	0.8662047	0.98866725	0.7835936	0.70301354	0.9354593	0.9629088	0.93442345	0.8851627	0.9148605	0.7725514	0.96023554	0.5887914	0.86362267	0.78623784	0.91012967	0.6736033	0.9690391	0.9437809	0.82983094	0.9696627	0.731799	0.79145694	0.771385	0.8653803	0.8931376	0.91342545	0.95322466	0.8903204	0.88828623	0.60291016	0.91539496	0.526935	0.8288839	0.7819504	0.8386565	0.9642392	0.9051836	0.96703297	0.90700996	0.8225734	0.9389376	0.9717376	0.9545272	0.8533659	0.89491284	0.96791834	0.9847237	0.88699704	0.9613241	0.8497094	0.8841528	0.9827762	0.88848555	0.89744544	0.86485434	0.9694688	0.9730608	0.9057093	0.990725	0.8887945	0.7968434	0.9344661	0.82207406	0.9454053	0.87829334	0.89118505	0.9006599	0.6146953	0.77114755	0.60341024	0.9126902	0.82414377	0.65866923	0.67823994	0.8645163	0.99250036	0.7863291	0.81689495	0.8412891	0.89736956	0.94919336	0.728593	0.83626544	0.9292805	0.8674165	0.9903464	0.87916493	0.8942269	0.80976695	0.88530964	0.89808315	0.849487	0.7374863	0.67536676	0.63799846
wegdek/noun	0.8569394	0.91539955	0.9208382	0.95875645	0.9813231	0.98151267	0.7811271	0.829265	0.8967056	0.9383082	0.84416145	0.97272927	0.7444143	0.89086235	0.90047413	0.9329605	0.75429285	0.7427745	0.80910385	0.8557991	0.8268896	0.90402734	0.8206811	0.88604087	0.6225949	0.86087716	0.97156215	0.86985075	0.8852055	0.77313423	0.9009026	0.914038	0.90870225	0.82798064	0.8625868	0.8424811	0.8830162	0.9563217	0.91249496	0.46173662	0.8403076	0.6947994	0.8776696	0.7953482	0.84157443	0.7445338	0.96236575	0.9051045	0.8319722	0.8718663	0.65565395	0.8554647	0.95254034	0.7436596	0.74857545	0.6315558	0.0	0.95903224	0.8157625	0.80548066	0.87179255	0.763559	0.64152664	0.94428086	0.78428483	0.92273825	0.78351045	0.964852	0.8083729	0.8303672	0.81220776	0.6901635	0.9092377	0.6187209	0.78348166	0.7132646	0.8351313	0.9421691	0.9431097	0.71654403	0.8706167	0.90837806	0.90410274	0.93628776	0.94091004	0.76360136	0.84282076	0.7954429	0.93078893	0.7957179	0.7296794	0.6258095	0.87453	0.74476385	0.97177196	0.8581368	0.8520675	0.9554275	0.8364939	0.69636536	0.87298125	0.6932107	0.9166981	0.9173957	0.9396348	0.8507365	0.72296226	0.94077975	0.8184247	0.9881614	0.8504089	0.8572858	0.90066534	0.92710924	0.86655915	0.89403987	0.86373115	0.9423782	0.58415914	0.9531259	0.85451674	0.8272961	0.8371583	0.8494738	0.7457251	0.8898448	0.6388024	0.92918944	0.8282164	0.8843258	0.94751817	0.8368165	0.8966546	0.90762436	0.89444	0.7497953	0.8664115	0.92425394	0.84639275	0.79293054	0.8301682	0.88597697	0.92966783	0.891854	0.92733103	0.830866	0.8338069	0.8390458	0.9316909	0.9792827	0.8486541	0.944375	0.67604816	0.88826716	0.9530002	0.8706267	0.8585362	0.9208812	0.78685623	0.9191805	0.75263095	0.9287478	0.7527256	0.815357	0.8777476	0.8275798	0.67354536	0.89753515	0.78600734	0.89240533	0.62091446	0.83137274	0.87602556	0.9700246	0.86166286	0.8776157	0.91929454	0.6851448	0.9471627	0.66881156	0.8429185	0.88064766	0.9779749	0.86128867	0.91567194	0.68490916	0.9262309	0.77093154	0.8896551	0.7797178	0.77022296	0.7507512	0.89805907	0.79469395	0.76158357	0.94208497	0.7281306	0.7439218
veerkrachtig/adj	0.8136271	0.8731738	0.8611406	0.87434834	0.91843355	0.9681995	0.8797283	0.73934174	0.75080115	0.8461356	0.9743627	0.9905225	0.95185006	0.8900073	0.92715114	0.8973635	0.92751026	0.8662405	0.9180799	0.7679951	0.8938494	0.89247906	0.7330358	0.96135294	0.88584346	0.88213164	0.9695281	0.87445855	0.86204314	0.8717326	0.77718484	0.7573644	0.8610968	0.7122259	0.91900593	0.8309112	0.7243024	0.91934186	0.8422437	0.94224334	0.8968214	0.91833234	0.7767501	0.8227058	0.9095403	0.69622827	0.9391552	0.87980366	0.87075824	0.7943366	0.9322966	0.78273183	0.72461945	0.96568614	0.7932179	0.8123745	0.95903224	0.0	0.7700534	0.95331967	0.7640756	0.79449344	0.9282001	0.7942355	0.8958088	0.9307531	0.887552	0.73143613	0.9066713	0.85418874	0.9092511	0.83434534	0.84017915	0.75195694	0.9120158	0.93549114	0.91048753	0.9045256	0.78902113	0.8461283	0.91156363	0.7892227	0.78283674	0.85469955	0.8800227	0.7532292	0.93093884	0.86194247	0.83531654	0.91933227	0.79690886	0.95775783	0.84906995	0.7666248	0.8916997	0.8994152	0.9357024	0.9136424	0.8838066	0.9857335	0.9195136	0.78456503	0.85798484	0.95043886	0.82550186	0.7099185	0.783458	0.7976205	0.7962506	0.9221045	0.843042	0.76680064	0.92167646	0.82108456	0.7992289	0.87588525	0.734048	0.8514961	0.893769	0.92501366	0.91287696	0.87616456	0.82775986	0.90180385	0.8353807	0.8666606	0.8925183	0.9757138	0.82920825	0.8978833	0.8522581	0.92358875	0.92214805	0.8622545	0.82383394	0.9020606	0.83727735	0.90702546	0.8288902	0.8960645	0.84652144	0.9180963	0.9242888	0.95254713	0.9337121	0.85884726	0.8304038	0.92676216	0.8882975	0.9612619	0.74253106	0.8229186	0.9232526	0.8969958	0.9700309	0.7182391	0.9669919	0.95463145	0.92833513	0.89499044	0.9510158	0.8002885	0.8464217	0.80669045	0.8148041	0.8855117	0.9220148	0.8790027	0.9332065	0.87110245	0.8496158	0.8051309	0.83385456	0.8425623	0.9044112	0.9087414	0.81580514	0.9808777	0.9094923	0.96117675	0.8343277	0.81433785	0.8036719	0.79365504	0.8512133	0.95891446	0.91778624	0.8272684	0.9581004	0.94065815	0.9053215	0.8751868	0.8565105	0.9028343	0.8782438	0.7128308	0.9153172	0.9411507
snel/adj	0.75575954	0.87158823	0.8064778	0.6814471	0.93746877	0.9750571	0.5905775	0.7560259	0.71829796	0.6990621	0.66708183	0.90668046	0.92758197	0.74157894	0.8044408	0.93184584	0.7552144	0.7384174	0.922	0.68928605	0.611743	0.95520467	0.8401931	0.5888003	0.6579119	0.7241733	0.9554037	0.7284368	0.8571933	0.8278767	0.85638577	0.6509117	0.8469486	0.84359694	0.4852873	0.6192944	0.776085	0.70878154	0.6627383	0.79987377	0.72954684	0.670419	0.8571797	0.78667605	0.8747054	0.7623404	0.7621805	0.8393802	0.82716393	0.607148	0.89510643	0.6541486	0.89146554	0.8493731	0.69242823	0.85481286	0.8157625	0.7700534	0.0	0.6574824	0.83274674	0.78128827	0.8155271	0.8585017	0.7961947	0.8197951	0.612504	0.83285946	0.7381387	0.8856867	0.842855	0.7008355	0.7668862	0.77992857	0.7533012	0.7449323	0.64629287	0.7947675	0.648916	0.6846657	0.93466884	0.77205366	0.62959594	0.7144021	0.7912868	0.7051467	0.8609325	0.5799162	0.9120469	0.74611473	0.6105215	0.9073727	0.6920755	0.6267001	0.68661094	0.769571	0.7346216	0.9017674	0.7973112	0.7305273	0.75209844	0.8575957	0.80258226	0.92444444	0.8255627	0.7779674	0.71673435	0.64043075	0.8210094	0.8990923	0.59825057	0.6520122	0.8119804	0.6441254	0.9056163	0.836596	0.7079343	0.8702073	0.77320397	0.83795977	0.9190894	0.83828354	0.84513146	0.83909684	0.6108272	0.8458473	0.680694	0.8573785	0.7230408	0.8477372	0.9152147	0.76959157	0.8913555	0.8233581	0.81308323	0.7394805	0.76471967	0.9080069	0.8510133	0.88163805	0.84963334	0.7365792	0.89833933	0.71657825	0.90962905	0.7472317	0.5975101	0.67854905	0.7293463	0.86263824	0.6462879	0.6939133	0.6376538	0.64436316	0.8596869	0.61603504	0.8855956	0.90548706	0.8241188	0.7091353	0.66362834	0.7470753	0.5872436	0.6608739	0.81930166	0.77541935	0.83626187	0.69080806	0.83591187	0.77793723	0.7979615	0.6780753	0.8223872	0.7185046	0.8292808	0.9069908	0.7745228	0.895675	0.87162554	0.7119589	0.7345836	0.5754752	0.78703296	0.7719751	0.9077808	0.8600146	0.808116	0.54007703	0.87007976	0.8921392	0.9524066	0.5129653	0.9209409	0.92209464	0.7308092	0.810941	0.72337687	0.90611905
onmiddellijk/adj	0.80732787	0.8099192	0.843008	0.8387978	0.8885473	0.9526915	0.7894299	0.8312937	0.8478992	0.7425498	0.69934833	0.87989396	0.8688271	0.64214736	0.89334285	0.8959689	0.72808385	0.7070669	0.85395044	0.7714081	0.74472	0.9278935	0.8826567	0.28267014	0.6419021	0.80511683	0.90775573	0.86747897	0.84572726	0.91394323	0.8335943	0.79906607	0.77393955	0.8199157	0.7640848	0.7666712	0.7441857	0.75404084	0.7304007	0.89562076	0.8833721	0.8375716	0.85018206	0.81967634	0.8199445	0.79255694	0.7044792	0.8093911	0.7872147	0.86451465	0.8905815	0.85434556	0.872704	0.87724316	0.79913056	0.85408264	0.80548066	0.95331967	0.6574824	0.0	0.9155125	0.8942902	0.9254814	0.95744014	0.71413195	0.8341841	0.5506897	0.81299067	0.7809144	0.78436357	0.8405871	0.8590462	0.89470154	0.78736776	0.71947265	0.82174057	0.72178125	0.8214179	0.7180629	0.75340813	0.8686065	0.8522943	0.8057792	0.81581324	0.8640162	0.8431369	0.7404909	0.63871735	0.8560358	0.75714207	0.735674	0.83655035	0.8043918	0.8598611	0.7370681	0.8769841	0.7655119	0.8659331	0.8076193	0.7626989	0.77907836	0.8628932	0.8473383	0.7973512	0.8174467	0.7877998	0.82640225	0.728677	0.8779721	0.8293255	0.70201635	0.82540405	0.79897606	0.68309474	0.8985333	0.712332	0.74205506	0.93901765	0.7552011	0.850055	0.82514	0.84983736	0.8100556	0.90659434	0.7521885	0.8905186	0.78592455	0.7878299	0.7686204	0.7928916	0.8217089	0.70376694	0.82274204	0.7143883	0.84884465	0.8777208	0.8057078	0.89707905	0.93360287	0.8123647	0.7800204	0.81066805	0.90636086	0.7996422	0.8880036	0.82284415	0.7861482	0.6704793	0.76200664	0.83053696	0.8024975	0.7758044	0.6911868	0.76551664	0.90337217	0.72832495	0.81662846	0.8475514	0.7898511	0.77802384	0.75675184	0.86219144	0.73736537	0.7959063	0.8493011	0.7548592	0.75367224	0.78965855	0.8256837	0.83393073	0.9192782	0.85993767	0.7360969	0.7095838	0.8862246	0.8105463	0.6087922	0.86224455	0.9000397	0.7599708	0.8992096	0.7594732	0.93434393	0.82977736	0.8380743	0.8178897	0.7616997	0.749944	0.8872458	0.90445304	0.88906825	0.81977814	0.8264295	0.9127829	0.77002406	0.7807605	0.6388986	0.82654405
weeg/verb	0.74512935	0.9036097	0.85489994	0.8248534	0.84468657	0.9372723	0.6923615	0.8694412	0.51637244	0.86161345	0.76437426	0.84018236	0.83457506	0.8333093	0.781653	0.8770002	0.6875573	0.8741324	0.83155537	0.73470914	0.82838166	0.8685019	0.6852191	0.9238216	0.81324124	0.5859469	0.93448573	0.921156	0.7000184	0.87246287	0.8238554	0.7606154	0.68755114	0.89591	0.8994241	0.770097	0.9363908	0.92306244	0.849174	0.9239646	0.8014728	0.9056835	0.9155697	0.8122655	0.9268061	0.719102	0.8423281	0.8187698	0.6946909	0.8157528	0.90616965	0.8124642	0.809126	0.8606514	0.86400115	0.8966974	0.87179255	0.7640756	0.83274674	0.9155125	0.0	0.7261056	0.82298577	0.79719746	0.8393223	0.86423016	0.7940303	0.83347076	0.6405231	0.7679661	0.9147242	0.8229561	0.80348086	0.7770338	0.9083143	0.68080026	0.6073686	0.84991676	0.8935042	0.74578774	0.9161091	0.79198325	0.66129076	0.8808213	0.7119969	0.7333098	0.88281363	0.8527143	0.7591374	0.847348	0.82665765	0.82146394	0.90251917	0.6650383	0.9298984	0.8561364	0.61261636	0.91413254	0.65684724	0.8017359	0.7834983	0.8664648	0.7272619	0.8380553	0.7058543	0.58941066	0.87882966	0.82560766	0.78515553	0.9422525	0.7547084	0.77951896	0.8040963	0.88434714	0.77076745	0.6663642	0.75546366	0.7488816	0.9092894	0.8373245	0.8137791	0.80526173	0.7512995	0.90997183	0.6900977	0.86967564	0.7614616	0.79980886	0.7035377	0.78303915	0.8329884	0.80084044	0.92800605	0.75932384	0.8978932	0.68527246	0.7046876	0.9491666	0.78659284	0.76917446	0.7443509	0.9179966	0.9532532	0.80552715	0.9197311	0.7994871	0.8724608	0.8793772	0.8754999	0.7975892	0.7117468	0.87138456	0.77296007	0.6505432	0.6729448	0.68037736	0.91570884	0.7192692	0.76805484	0.8488294	0.8489197	0.842821	0.6870289	0.84575236	0.9525416	0.8283789	0.88067913	0.73930204	0.7982711	0.84148973	0.7510955	0.7718132	0.84084475	0.94784814	0.7926051	0.88060623	0.8126127	0.83089364	0.711893	0.9556254	0.76995313	0.8413672	0.76909816	0.7488533	0.8987247	0.7974404	0.6961578	0.7517841	0.8206829	0.87755424	0.79377323	0.7338084	0.8929456	0.8870421	0.8711927	0.6800989	0.81988716	0.851498
verbetering/noun	0.89386004	0.859256	0.8536363	0.9320729	0.92160594	0.9991079	0.730986	0.8461918	0.69590765	0.8721398	0.8532342	0.9830406	0.8566669	0.92278576	0.9435957	0.97010934	0.8264462	0.7780873	0.95973754	0.7735121	0.85649157	0.94318944	0.7363793	0.9303077	0.73743176	0.85447013	0.9616592	0.8317918	0.85649836	0.54194844	0.8608993	0.80181754	0.82260597	0.7673776	0.8351362	0.78403234	0.9162911	0.8929516	0.9063288	0.81766695	0.9059639	0.6782281	0.9172067	0.6593057	0.9483006	0.71017945	0.96419716	0.7317457	0.81429595	0.75588477	0.8664655	0.82487696	0.8584517	0.80739456	0.78507245	0.7949049	0.763559	0.79449344	0.78128827	0.8942902	0.7261056	0.0	0.9235917	0.79721606	0.81299746	0.9528227	0.7829906	0.9353308	0.76719487	0.9141681	0.94929063	0.78655183	0.7121085	0.75251514	0.71779126	0.7895198	0.8672582	0.8209559	0.89096004	0.5564124	0.9188668	0.8949306	0.83140224	0.87713337	0.85869914	0.1799174	0.8149064	0.77717054	0.9399847	0.7568197	0.738129	0.841424	0.7961611	0.6794799	0.87907445	0.8750439	0.8395618	0.908089	0.8873924	0.85549843	0.95996934	0.834821	0.8646261	0.91851354	0.8511133	0.69528985	0.69314045	0.92094487	0.86389434	0.98909384	0.76640034	0.86916006	0.91762304	0.8924451	0.9318787	0.8978781	0.7744724	0.871439	0.85695744	0.9511962	0.8834138	0.8519837	0.8283089	0.77726334	0.72630805	0.88538647	0.6817737	0.8987244	0.792063	0.91294974	0.87262046	0.79246205	0.89628935	0.7450967	0.89281964	0.7336557	0.8438102	0.95483905	0.73922646	0.8717576	0.88230574	0.7847185	0.95335495	0.9769966	0.952186	0.9172995	0.7519796	0.9040394	0.8972057	0.9867051	0.76717675	0.99336624	0.73328006	0.67649657	0.8636209	0.8196409	0.9404328	0.86870766	0.79287744	0.89644825	0.7122712	0.90863913	0.7209295	0.71283466	0.8759	0.84116536	0.8600924	0.7066365	0.9070443	0.9472271	0.53917825	0.60193574	0.58416915	0.9366958	0.83376694	0.85593855	0.90965086	0.65686166	0.9286806	0.8875307	0.8652456	0.91242194	0.88642114	0.8952381	0.9609326	0.87324476	0.92670965	0.8082547	0.85387427	0.8782208	0.9191442	0.7367387	0.857653	0.94501835	0.724246	0.8000958	0.8012798	0.8326603
