	beleef/verb	opdracht/noun	verhouding/noun	rook/noun	speler/noun	wieler_sport/noun	vorm/verb	selecteer/verb	soms/adv	ben/verb	spier_pijn/noun	Hilversums/adj	behoorlijk/adj	heb/verb	dring_binnen/verb	buurt/noun	oppervlak/noun	discipline/noun	provincie_raad_lid/noun	stress/noun	vind/verb	list/noun	golfplaat/noun	smerig/adj	sterk/verb	zwem/verb	gewoon/adj	angst/noun	overigens/adv	pijn/noun	zo/adv	vooral/adv	dag/noun	nauwelijks/adv	oorlog_ervaring/noun	minder/adj	voeg_toe/verb	werkelijk/adv	hitte/noun	meer/adv	hier/adv	systeem/noun	sla/verb	zeg/verb	ga_door/verb	vuiligheid/noun	lucht/noun	laag/adj	duur/adv	jeugd/noun	snel/adj	stank/noun	fiets/noun	stel_uit/verb	alleen/adv	blijkbaar/adj	sociaal/adj	haast/adv	student/noun	verdriet/noun	moet/verb	zeer/adv	jarenlang/adj	buiten/adv	mentaal/adj	week/adj	maar/adv	draai/verb	simpelweg/adv	thuis/adv	kan/verb	eerst/adv	fiets/verb	verlokking/noun	er/adv	vooruitzicht/noun	eigenlijk/adj	wellicht/adv	bezoeker/noun	huid/noun	niet/adv	vervolg/noun	dan/adv	eenmaal/noun	luid/verb	gevormd/adj	verspreid/verb	nog/adv	werk/noun	moreel/adj	waterput/noun	rest/verb	zaak/noun	meestal/adv	wenk/verb	duik_op/verb	slijp/verb	reuk/noun	daar/adv	werk_omstandigheid/noun	overlast/noun	geur/noun	wijs_uit/verb	even/adj	verschrikkelijk/adj	2001/noun	in_activiteit/noun	minstens/adv	teen/noun	kern/noun	schaar/verb	kaas/noun	operatie/noun	inmiddels/adv	beetje/noun	evengoed/adv	weer/noun	betref/verb	makkelijk/adj	verleden/noun	bijna/adv	vrolijk/adj	wel/adv	vaak/adj	zeeman/noun	professioneel/adj	karakter/noun	droog/verb	toch/adv	train/verb	Koreaan/noun	gips/noun	geheel/noun	strijd/noun	rijp/verb	omtrek/noun	katalysator/noun	helemaal/adv	pupil/noun	net/adv	blijk/verb	maand/noun	extern/adj	weer/adv	moeilijk/adj	extreem/adj	beslotenheid/noun	louter/adj	alleen/adj	intussen/adv	anders/adj	monotoon/adj	sprong/noun	echt/adv	verander/verb	fit/adj	voldoende/adj	verkeer/noun	water/noun	amper/adv	daglicht/noun	kind/noun	afloop/noun	leven/noun	langer/adv	bloem/noun	ziel/noun	stilte/noun	week/noun	leeftijd/noun	sloop/adj	concurrentie/noun	toerist/noun	huid_ziekte/noun	val/verb	coach/noun
snel/adj	0.88492733	0.9021117	0.82490414	0.77889496	0.8352164	0.8627149	0.8471001	0.94095725	0.7230612	0.6787211	0.9076345	0.9257819	0.6668817	0.87691885	0.8648178	0.78948665	0.7728948	0.8407695	0.977959	0.8021688	0.8166113	0.92249584	0.9107776	0.775293	0.9510207	0.6936339	0.6031593	0.8494283	0.79097855	0.8296381	0.70802015	0.81907904	0.70857084	0.74354535	0.9294872	0.66939855	0.8692809	0.8269807	0.6924319	0.837553	0.70419574	0.77153397	0.81262875	0.8938379	0.76148874	0.87637997	0.5719454	0.75363487	0.8125435	0.8646202	0.0	0.76571923	0.68350077	0.79573274	0.8266541	0.6709399	0.85668504	0.80689293	0.82347715	0.9145103	0.652017	0.7647961	0.90445805	0.5637244	0.8023842	0.75560653	0.7885889	0.6960677	0.8510541	0.77608514	0.60811913	0.54899466	0.5911943	0.8196788	0.67746043	0.84650004	0.8106406	0.75239754	0.7828113	0.7166735	0.78122103	0.949393	0.5819458	0.76374257	0.7841132	0.7272775	0.792048	0.74086547	0.74217534	0.9391601	0.85499626	0.9174061	0.8833674	0.7354082	0.86679405	0.71997553	0.85731	0.7675719	0.6200749	0.8339059	0.827545	0.7634069	0.85240895	0.6545118	0.74356484	0.9012931	0.87947834	0.70086026	0.74432254	0.88739794	0.9571742	0.733948	0.90249574	0.77578986	0.7663263	0.869793	0.54485285	0.8342426	0.47320664	0.8870563	0.8209634	0.67226994	0.69382715	0.6514894	0.8931138	0.79170465	0.7567897	0.60160303	0.6497693	0.75950104	0.8826096	0.822093	0.7895754	0.86635923	0.76389134	0.7811341	0.85026217	0.6794263	0.92064154	0.6449965	0.691138	0.86159474	0.91294974	0.6908619	0.69363415	0.6896404	0.9069877	0.9045595	0.7455871	0.5664331	0.7455053	0.78441536	0.82378674	0.80442023	0.7553365	0.7991779	0.63933516	0.6355133	0.6548985	0.800073	0.8106354	0.8190988	0.7610798	0.6973445	0.7928672	0.78569734	0.8897655	0.8263246	0.8260963	0.8508247	0.8274362	0.76960605	0.7352034	0.9065004	0.8133933	0.9382604
stank/noun	0.9063426	0.89205295	0.96706265	0.35050136	0.96985584	0.95599467	0.87084365	0.90786874	0.67169917	0.7402278	0.82796335	0.783612	0.7342272	0.8398043	0.64076984	0.46081012	0.7525985	0.92689455	0.9717467	0.717007	0.73291546	0.8558093	0.669646	0.4482916	0.91643953	0.8304781	0.75554544	0.7212974	0.9076094	0.79435724	0.7944929	0.72835755	0.8309002	0.8247726	0.8319838	0.6676831	0.8179651	0.8906428	0.45031136	0.7599434	0.6527864	0.83367395	0.66982675	0.8939537	0.9177122	0.63060105	0.46610308	0.9408169	0.7902262	0.8106041	0.76571923	0.0	0.82603467	0.91005415	0.7487863	0.74932015	0.8230952	0.8044761	0.86045647	0.7716192	0.8251514	0.8465624	0.85267836	0.52485204	0.87119263	0.8974576	0.8239844	0.801342	0.8169312	0.85848415	0.71674085	0.7973257	0.79137063	0.9019551	0.5832534	0.92041487	0.84620047	0.8042595	0.7730725	0.81093585	0.8548516	0.92394143	0.8205191	0.7961086	0.8767432	0.84462357	0.48962706	0.8642723	0.7858847	0.908445	0.8101744	0.6838815	0.85373104	0.7706636	0.8866886	0.7613264	0.8995202	0.57463837	0.67457837	0.8305334	0.48519748	0.34784114	0.7901827	0.8591271	0.6052717	0.9760545	0.9230952	0.9162947	0.8563786	0.9404117	0.9035998	0.7505985	0.941976	0.8258699	0.7667935	0.81329817	0.61768115	0.90267104	0.8048446	0.78599155	0.9001371	0.85520124	0.8653144	0.8041055	0.81148714	0.9096909	0.85544443	0.8116713	0.7992212	0.8724139	0.96157426	0.89227223	0.8834243	0.7500482	0.90667	0.81585085	0.58564556	0.8484435	0.9704547	0.9136279	0.8219204	0.93502325	0.7083001	0.877475	0.8297888	0.63343936	0.935182	0.87211245	0.7720626	0.71061873	0.7706481	0.75603926	0.864854	0.71895254	0.7969544	0.92225546	0.8873445	0.6613393	0.5937795	0.8856148	0.90648496	0.84442335	0.7842855	0.8430096	0.7167251	0.7353098	0.8604062	0.77113414	0.9093861	0.9590264	0.77735436	0.8838792	0.7459383	0.9076139	0.8353254	0.98946726
fiets/noun	0.76195735	0.87567663	0.89665323	0.88038146	0.9354058	0.7404572	0.9732186	0.8626882	0.76415	0.78706557	0.8729391	0.9046008	0.7756937	0.880648	0.84320796	0.78967124	0.8465925	0.70317155	0.98372775	0.7716852	0.8167253	0.9832305	0.8731084	0.76840985	0.84476817	0.37319267	0.5285628	0.93454206	0.9404542	0.87848353	0.7769598	0.78473836	0.6221861	0.8120316	0.95996046	0.72187483	0.9233344	0.88951015	0.8361707	0.85443676	0.5999334	0.878426	0.8853764	0.94449276	0.8294866	0.9063924	0.78658366	0.93341374	0.9377777	0.803529	0.68350077	0.82603467	0.0	0.8384617	0.78996533	0.8380617	0.91728365	0.8477152	0.68742895	0.94185185	0.77383846	0.9231929	0.8299218	0.6029525	0.86427015	0.9505718	0.7919308	0.7866865	0.8516443	0.5455531	0.6366129	0.7972215	0.2537719	0.79225135	0.77362657	0.9042789	0.8142108	0.8747383	0.7565991	0.88591456	0.8588713	0.973096	0.67155933	0.7214842	0.9522841	0.8046704	0.88108546	0.8075097	0.64555	0.97768956	0.8538822	0.90196306	0.87377274	0.61764544	0.88347715	0.7888049	0.7622599	0.82334805	0.6859451	0.8935667	0.8363041	0.9116375	0.88426095	0.7193498	0.7813941	0.9467488	0.86278284	0.77050513	0.875934	0.92870134	0.7636123	0.906786	0.93576837	0.8476384	0.763495	0.88155603	0.5790925	0.871881	0.7042268	0.9240588	0.81858623	0.77539146	0.843739	0.6733469	0.7647262	0.7289218	0.87169456	0.8204273	0.82148176	0.5981169	0.8535004	0.76174426	0.9392316	0.8950622	0.90225524	0.8994545	0.8872223	0.86159706	0.8328279	0.778018	0.84047675	0.8387799	0.9585937	0.62650335	0.8902826	0.8794541	0.9247949	0.9014645	0.7369836	0.86399555	0.8649611	0.8128998	0.9359269	0.8106622	0.853017	0.7404369	0.8972397	0.6798315	0.68854004	0.74521863	0.82673836	0.62096286	0.91619825	0.8687315	0.8948362	0.9311365	0.8161114	0.8365945	0.74953127	0.79965574	0.85243434	0.89724845	0.6128175	0.9643522	0.861298	0.9488138
stel_uit/verb	0.83420455	0.92282915	0.95826393	0.92230815	0.90232086	0.9195498	0.8863501	0.89810574	0.88822305	0.77569014	0.9350169	0.97278416	0.91468227	0.8561368	0.86923105	0.9922726	0.86927	0.90949696	0.9430146	0.8371935	0.9199206	0.9570673	0.9545855	0.8378848	0.92625415	0.90586454	0.79556787	0.9248317	0.94080406	0.8742987	0.8194715	0.8906252	0.6490798	0.8954312	0.9576445	0.868779	0.92993146	0.97664255	0.9242745	0.91041607	0.89905804	0.8855963	0.93801	0.97360694	0.6316641	0.84994656	0.94135976	0.9456228	0.88624656	0.94238234	0.79573274	0.91005415	0.8384617	0.0	0.8823952	0.85661775	0.8226409	0.8438262	0.934878	0.94234693	0.63421065	0.87533545	0.84457535	0.82344395	0.8864793	0.8856548	0.8292887	0.74777806	0.8648764	0.7626766	0.8043432	0.7338364	0.8229767	0.835239	0.8172036	0.8561162	0.9110917	0.69070655	0.7741718	0.93034965	0.82074535	0.8617893	0.77240795	0.7850329	0.8475485	0.9262208	0.9360609	0.6896398	0.8491007	0.88019174	0.92951876	0.88745946	0.8354592	0.8485905	0.73480725	0.68661064	0.75399816	0.92623186	0.8965657	0.9448776	0.95114005	0.98268074	0.7811898	0.6365749	0.928066	0.7644009	0.55591106	0.52854633	0.9283283	0.83247656	0.7762955	0.96261835	0.58045304	0.81248564	0.8802309	0.84410197	0.7482539	0.82836896	0.77191156	0.93374956	0.7150296	0.85199666	0.80989915	0.89455974	0.9144152	0.8875119	0.8738183	0.8271966	0.77666306	0.75065804	0.9646015	0.6555649	0.91696036	0.79833406	0.7579319	0.9056308	0.7891345	0.88811255	0.94850564	0.89830875	0.8556379	0.60902923	0.8062815	0.7601112	0.82955897	0.89202285	0.7487117	0.7520745	0.8178565	0.83101726	0.81187254	0.8949816	0.972641	0.9651124	0.8198869	0.822037	0.8680609	0.8638246	0.9151139	0.74231744	0.8812361	0.94113564	0.82181454	0.8697803	0.8414368	0.94870234	0.944925	0.8426747	0.6447085	0.9784725	0.8354371	0.9316972	0.8892577	0.8683348	0.90153056	0.9528825
alleen/adv	0.7884183	0.83980626	0.87823796	0.85411674	0.84763026	0.76037997	0.81065464	0.865206	0.7116476	0.69209206	0.8548782	0.9635446	0.7101376	0.750375	0.834634	0.7946118	0.77845216	0.84357834	0.97169983	0.77627426	0.7434648	0.8939249	0.75575954	0.8439952	0.7911365	0.7598981	0.6322081	0.78245574	0.8191947	0.7762663	0.78415495	0.6704567	0.7786732	0.6175015	0.901662	0.72388184	0.85235906	0.7815082	0.7259815	0.63936913	0.6657672	0.8384873	0.8867951	0.80572575	0.76537454	0.6588641	0.80765086	0.8190267	0.71282285	0.7854943	0.8266541	0.7487863	0.78996533	0.8823952	0.0	0.6960877	0.8815328	0.72819424	0.83652294	0.6573144	0.71201336	0.80663335	0.87397796	0.7787733	0.70322096	0.80675787	0.6059738	0.75518954	0.7182301	0.76422626	0.6929517	0.74540424	0.70730615	0.8580193	0.6070793	0.76862127	0.67954636	0.7224413	0.85923684	0.80053	0.7244539	0.855108	0.59736156	0.67901653	0.96172893	0.9014488	0.8111431	0.55974245	0.7601733	0.7617875	0.7828041	0.65049267	0.82406265	0.5964234	0.91379255	0.8472475	0.90903354	0.8897786	0.7250076	0.846074	0.81589514	0.81851435	0.8756622	0.7304431	0.7038294	0.91415894	0.93604404	0.8777188	0.8600272	0.9025887	0.84280014	0.87654006	0.8534062	0.8688935	0.6126362	0.55811524	0.7869171	0.80718195	0.79027706	0.8927405	0.82666844	0.79516125	0.6519183	0.6439453	0.7807589	0.8094108	0.7154153	0.8216872	0.64331234	0.7228564	0.90591544	0.89630234	0.78329915	0.7606951	0.8436145	0.9275027	0.8248852	0.69508964	0.89024645	0.69777024	0.7890099	0.9195811	0.88642347	0.75760996	0.8245659	0.7469092	0.91377926	0.78865254	0.4695924	0.86167216	0.7027391	0.79067326	0.8454814	0.7070469	0.8087089	0.82064724	0.7397787	0.8474821	0.8111093	0.630936	0.8046025	0.79825944	0.78327626	0.80552554	0.72171426	0.7896963	0.7443992	0.7988933	0.8750649	0.9136472	0.723404	0.879694	0.7779854	0.8694954	0.8058145	0.89751333
blijkbaar/adj	0.6927227	0.7708227	0.8117329	0.85410714	0.7800063	0.8203657	0.81570184	0.7913362	0.65044963	0.4586717	0.8660294	0.95735	0.65734744	0.7713547	0.8993377	0.8343612	0.8082055	0.6750126	0.9408622	0.6613705	0.6373576	0.96600866	0.76967525	0.8114528	0.80099696	0.84977806	0.7441506	0.77701604	0.6830877	0.74064726	0.71588933	0.6549958	0.838673	0.71440375	0.9386879	0.5942434	0.8503864	0.6429265	0.7303276	0.8023857	0.66143227	0.8100995	0.8325306	0.80153096	0.78543556	0.8240215	0.6986625	0.9069573	0.67650604	0.77311933	0.6709399	0.74932015	0.8380617	0.85661775	0.6960877	0.0	0.81726164	0.687409	0.7980619	0.73331434	0.68346405	0.6885103	0.85177433	0.7477062	0.61602116	0.86487275	0.7112458	0.6743058	0.7334516	0.7547889	0.58609545	0.7835601	0.74157536	0.7499296	0.6392465	0.8573486	0.5767683	0.51996994	0.79112005	0.7957474	0.62810695	0.8512887	0.6394948	0.795735	0.8468303	0.85493803	0.8415785	0.72263634	0.7358185	0.79371756	0.883713	0.69618046	0.79687893	0.57715636	0.9229943	0.7611176	0.8668195	0.90569335	0.67212796	0.6990364	0.8134515	0.88523674	0.82617885	0.7008953	0.74852985	0.9228106	0.8731942	0.84980214	0.8310761	0.8004476	0.96939826	0.8940635	0.87738514	0.72786653	0.6965902	0.78652763	0.64570683	0.7661923	0.55495024	0.8028287	0.7966142	0.7909262	0.5966956	0.6163165	0.9477019	0.739758	0.72252274	0.7394196	0.5746726	0.68735707	0.74515533	0.8980232	0.737445	0.75339353	0.73220545	0.83310264	0.7705152	0.6112767	0.87671506	0.72529656	0.51466477	0.9132552	0.857986	0.7660118	0.6358224	0.68196905	0.9331673	0.7772415	0.70053864	0.7572946	0.67421347	0.8072446	0.8583828	0.5860822	0.7273925	0.60328096	0.67760503	0.7693207	0.73621666	0.8057414	0.84119177	0.8182905	0.7937561	0.73482203	0.55275	0.8771488	0.93537545	0.8595474	0.88631415	0.7491872	0.6885774	0.6621921	0.7234994	0.9075377	0.7588075	0.838712
sociaal/adj	0.89089715	0.8940755	0.7348736	0.9601709	0.86637825	0.84987164	0.7854217	0.8113529	0.8444767	0.79584295	0.9428812	0.894303	0.80006385	0.76802546	0.90004766	0.7986164	0.90192586	0.8073518	0.9507136	0.71342635	0.9016707	0.94171745	0.9487426	0.82064736	0.7264792	0.9707133	0.81828165	0.84729576	0.85581017	0.88095856	0.9250154	0.6003398	0.91866386	0.8830216	0.96199995	0.6918489	0.95446265	0.78592974	0.9307219	0.92255676	0.8493277	0.6422993	0.96565455	0.99232394	0.8806498	0.90079916	0.9328728	0.6884824	0.8374006	0.91162187	0.85668504	0.8230952	0.91728365	0.8226409	0.8815328	0.81726164	0.0	0.86671257	0.78485465	0.874877	0.8163953	0.6614593	0.73604107	0.96306103	0.76799047	0.94066125	0.9500233	0.7093863	0.81391364	0.9155352	0.8797457	0.89981717	0.93339205	0.7628609	0.89006186	0.83100003	0.92533195	0.8358226	0.9150272	0.8990562	0.9410352	0.96846426	0.95168525	0.93713295	0.9078087	0.8570309	0.9378714	0.96455693	0.6909219	0.55013543	0.95572317	0.9129008	0.8260745	0.8341788	0.9407336	0.9070446	0.9196174	0.87094116	0.90489495	0.74324495	0.7414104	0.9736471	0.85209435	0.9713946	0.8502866	0.87575275	0.9465664	0.7769229	0.9830307	0.8071034	0.93060327	0.96492475	0.8268217	0.8942608	0.923698	0.88082016	0.8610983	0.6798389	0.80934	0.9431772	0.8389972	0.88337594	0.9298745	0.7365898	0.79885095	0.6311531	0.75192285	0.9571421	0.92519575	0.85256654	0.90545595	0.9141301	0.8677685	0.6820488	0.9041203	0.8246621	0.70998716	0.9246246	0.8771082	0.9991969	0.8337223	0.8580803	0.70215183	0.88268626	0.7556358	0.76271296	0.87150705	0.7016336	0.82174647	0.9345833	0.85484207	0.75916266	0.9392742	0.98627794	0.56891304	0.90661544	0.8857706	0.6955758	0.90985274	0.931654	0.9331084	0.77732587	0.90685445	0.70890635	0.76346254	0.991749	0.86898994	0.9682443	0.9010056	0.90296245	0.7425883	0.81427026	0.8432431	0.7337636	0.94716626	0.9278424
haast/adv	0.68076634	0.7438209	0.7712758	0.7866909	0.74025834	0.7194704	0.6905494	0.7032101	0.5650138	0.72294974	0.7991031	0.8276877	0.64433897	0.78299916	0.7086651	0.8019623	0.67901826	0.63683856	0.98331267	0.6931586	0.88640845	0.75322545	0.83919305	0.8120568	0.84100294	0.80114853	0.7835299	0.7040447	0.861447	0.66256976	0.7876696	0.7181493	0.74749404	0.68507016	0.9724142	0.767373	0.7986139	0.6672023	0.68447864	0.7805297	0.7309686	0.85785043	0.7605621	0.9059092	0.77102697	0.8477056	0.76196676	0.8729067	0.52144355	0.8178261	0.80689293	0.8044761	0.8477152	0.8438262	0.72819424	0.687409	0.86671257	0.0	0.8499097	0.6494279	0.7527374	0.7091384	0.73612213	0.71084857	0.6637102	0.6856044	0.8084439	0.67859876	0.7310317	0.8190495	0.7407027	0.7915566	0.73485637	0.89192253	0.71417403	0.7325274	0.7833482	0.6105488	0.84524477	0.6647781	0.76933384	0.7749203	0.7117115	0.7765444	0.74421597	0.7174415	0.75529826	0.78741163	0.73591065	0.74189925	0.8985349	0.690932	0.80476665	0.66415256	0.807353	0.7299094	0.7434415	0.85395485	0.7752333	0.7113597	0.896015	0.78444433	0.83843863	0.66678274	0.7610935	0.99085766	0.9038651	0.80377185	0.7077638	0.81460416	0.802604	0.89451766	0.80300516	0.8269498	0.64241016	0.6057927	0.7830361	0.79133224	0.6579764	0.822885	0.599995	0.6449566	0.6977961	0.6447776	0.8409719	0.7806045	0.5733757	0.7531316	0.7373114	0.68122	0.7324554	0.84519887	0.65412796	0.7720951	0.84092903	0.7645712	0.78456223	0.66196483	0.8238262	0.77910334	0.84231097	0.892358	0.7660985	0.642245	0.6965885	0.6802094	0.8665178	0.6593916	0.71038604	0.75886416	0.7299225	0.6326699	0.8835673	0.6273851	0.75113463	0.7496489	0.76831865	0.92235845	0.7415318	0.77848554	0.7524818	0.89468485	0.82241505	0.7118739	0.8063223	0.784764	0.6155206	0.5392741	0.8529781	0.78960884	0.54109824	0.74070555	0.82333857	0.9293616	0.76103264	0.7530348
student/noun	0.9184412	0.8251846	0.9055901	0.95919895	0.7231815	0.8269255	0.8930446	0.6439091	0.83746463	0.7826363	0.94031954	0.8095301	0.8887141	0.8495323	0.85456204	0.76864034	0.96090317	0.7692748	0.9753952	0.76685	0.87443393	0.94244134	0.94187236	0.8125899	0.95115525	0.74057186	0.8002253	0.78673136	0.8263597	0.8985607	0.825564	0.75032336	0.85754097	0.81529176	0.9450356	0.685856	0.97407854	0.89652514	0.91280174	0.7957308	0.79619795	0.8219795	0.91589576	0.9580915	0.9116876	0.90896165	0.85912156	0.89763254	0.9335398	0.89526576	0.82347715	0.86045647	0.68742895	0.934878	0.83652294	0.7980619	0.78485465	0.8499097	0.0	0.89361477	0.7651784	0.85461	0.81915027	0.8378108	0.83472943	0.88142455	0.8612876	0.8057082	0.85120094	0.7447616	0.76409507	0.8458709	0.76877916	0.7871108	0.7875495	0.9118754	0.8668692	0.8386519	0.73994255	0.943542	0.7670845	0.98799545	0.83879054	0.7663098	0.9500487	0.87787277	0.9267155	0.91556156	0.6267365	0.8805068	0.9337876	0.8843147	0.9099759	0.72079223	0.8938489	0.748652	0.8637154	0.9444786	0.7796459	0.77279437	0.7739193	0.9374151	0.87169325	0.82897395	0.86747277	0.83637214	0.82436424	0.8750512	0.9266681	0.8431288	0.92033845	0.93353814	0.90453774	0.77481055	0.8957131	0.8431126	0.8169207	0.72694993	0.7004515	0.79996467	0.85248655	0.8132669	0.8590699	0.6980127	0.7191182	0.7242108	0.74075013	0.895682	0.8070921	0.7797991	0.9170622	0.872579	0.85295945	0.8422762	0.9079643	0.9128786	0.86620283	0.9394852	0.8165611	0.90177685	0.83040726	0.90178335	0.69332534	0.88333625	0.8220043	0.851704	0.9163426	0.7971774	0.80744827	0.8943865	0.8191563	0.8984508	0.9387745	0.9051776	0.85437936	0.9166848	0.85315233	0.6970554	0.9055276	0.88025385	0.9159337	0.7739446	0.9464979	0.65920246	0.7679203	0.9437238	0.9144621	0.9331829	0.8305163	0.79333717	0.848486	0.8484887	0.5284623	0.907703	0.80541086	0.8207481
verdriet/noun	0.7207972	0.84428716	0.9302433	0.97551984	0.9106629	0.85102314	0.90303385	0.9261893	0.58522177	0.8458611	0.69737315	0.908273	0.7602153	0.71168125	0.97600234	0.821761	0.92901695	0.90529877	0.983216	0.5372101	0.8732688	0.85587215	0.7986491	0.88387334	0.77873087	0.9183145	0.8570361	0.3419109	0.900364	0.42789865	0.90132797	0.7578856	0.82512283	0.812482	0.9072763	0.72950864	0.92850906	0.8812762	0.7476797	0.8633776	0.79577756	0.9749066	0.8059299	0.8924675	0.9081522	0.8558928	0.8649795	0.905673	0.66508794	0.8130184	0.9145103	0.7716192	0.94185185	0.94234693	0.6573144	0.73331434	0.874877	0.6494279	0.89361477	0.0	0.84903514	0.8860928	0.8438492	0.833489	0.6739818	0.9119591	0.7124297	0.81622756	0.8297558	0.76699	0.7888983	0.81917816	0.8019694	0.943954	0.74264276	0.9025098	0.8752526	0.8232615	0.96967596	0.8961683	0.9360793	0.7709718	0.79321414	0.8519862	0.8685682	0.9146633	0.8850622	0.80024356	0.7505379	0.72881114	0.9039993	0.6488441	0.88102543	0.65916646	0.8903402	0.8003151	0.88873345	0.9013621	0.8618555	0.7732716	0.859463	0.8391567	0.9034649	0.7969221	0.6785432	0.9590412	0.9517912	0.8589351	0.80130535	0.98547643	0.8855721	0.8448342	0.7987857	0.9404008	0.6637927	0.6264916	0.84066486	0.8521681	0.900547	0.74832094	0.834453	0.7223046	0.8228674	0.6793045	0.6826988	0.8712009	0.71252215	0.9189604	0.83592695	0.8468742	0.66339964	0.9553656	0.85844743	0.80087435	0.8935636	0.9462896	0.91969264	0.9316933	0.9731411	0.9103626	0.9052689	0.89357793	0.93441063	0.8743948	0.8554008	0.7537463	0.7648586	0.7614315	0.70122784	0.8416138	0.79427254	0.68453467	0.83764315	0.9349068	0.9375726	0.9203335	0.90677124	0.94887745	0.88055736	0.84050214	0.96153957	0.73510516	0.7245705	0.6255156	0.78143024	0.8085232	0.5526259	0.5493565	0.9297848	0.8261299	0.6374897	0.8159388	0.8868407	0.93656373	0.8230672	0.9244136
moet/verb	0.86718655	0.86886466	0.85493493	0.90033084	0.74119234	0.8112672	0.8695526	0.78044105	0.73734313	0.6299813	0.8374486	0.91216785	0.7082738	0.702836	0.86695707	0.8608899	0.811123	0.78166014	0.9566022	0.7794486	0.75213426	0.9027459	0.92853975	0.8400538	0.8790569	0.7328374	0.61093354	0.87785167	0.8092371	0.7644468	0.6433906	0.70378816	0.7012814	0.68949866	0.8878999	0.7355689	0.84504306	0.7856251	0.8802415	0.81398183	0.63567805	0.7086673	0.8664156	0.85283965	0.6881979	0.8675337	0.8645545	0.89074767	0.81678903	0.796742	0.652017	0.8251514	0.77383846	0.63421065	0.71201336	0.68346405	0.8163953	0.7527374	0.7651784	0.84903514	0.0	0.84325385	0.8343514	0.76898724	0.73845446	0.69715744	0.58148295	0.69043267	0.7465967	0.66598976	0.5765327	0.5150173	0.7024598	0.8847057	0.5502516	0.80494446	0.75307405	0.64025486	0.7563945	0.83945775	0.73450977	0.92307	0.5271355	0.68725204	0.82778203	0.861629	0.9358798	0.57253706	0.7312889	0.79201114	0.8531103	0.7733017	0.7556869	0.66111743	0.7742634	0.73954463	0.7441872	0.8561851	0.6795447	0.8223249	0.8293299	0.9276509	0.8153901	0.41085774	0.8267486	0.8670061	0.66871387	0.68002844	0.7186282	0.814331	0.86106545	0.7700346	0.6877202	0.7157747	0.6226274	0.73404026	0.71417385	0.7811717	0.7654254	0.7774496	0.8879746	0.71734214	0.56087565	0.70540917	0.8888283	0.7910344	0.7809111	0.58988047	0.5551704	0.63439023	0.90388334	0.7323871	0.864461	0.8135619	0.61516833	0.9550115	0.81806123	0.70114785	0.9079455	0.7952313	0.7906736	0.70219207	0.6781111	0.6180192	0.73658967	0.88584864	0.87463486	0.79051214	0.7846075	0.5423125	0.6691759	0.7696514	0.8212467	0.77963805	0.74172556	0.7170038	0.66206837	0.7623653	0.7894324	0.81066424	0.90857553	0.8207736	0.8556576	0.76005673	0.79699755	0.8905716	0.8685572	0.77645546	0.7009815	0.8999169	0.8028775	0.8843925	0.87252194	0.8722078	0.82596576	0.8321003
zeer/adv	0.81807643	0.78664863	0.7249115	0.7758421	0.7600156	0.7395774	0.6246654	0.7892588	0.56074905	0.6018771	0.7615975	0.92731476	0.5216785	0.717123	0.88926876	0.88050514	0.7990312	0.64414513	0.9106525	0.8049604	0.7167226	0.9113592	0.92761385	0.67033565	0.7810485	0.7892431	0.83715504	0.78008914	0.62993884	0.83654773	0.6845803	0.5830878	0.86587936	0.8037975	0.89763916	0.69661254	0.8280232	0.79058665	0.7977717	0.941132	0.81859004	0.74310887	0.8579283	0.848415	0.9258627	0.9240078	0.7823969	0.59768724	0.71376073	0.80238193	0.7647961	0.8465624	0.9231929	0.87533545	0.80663335	0.6885103	0.6614593	0.7091384	0.85461	0.8860928	0.84325385	0.0	0.7375329	0.8789584	0.61832625	0.83511734	0.8363421	0.71006554	0.75378734	0.8660226	0.7921778	0.88809353	0.83472604	0.79355377	0.8284262	0.79266953	0.8168731	0.83847904	0.8836653	0.75623816	0.8594925	0.7976283	0.8232746	0.85972315	0.9346569	0.7790538	0.70404446	0.84001803	0.707695	0.787598	0.97074646	0.9141053	0.76526535	0.5746012	0.914037	0.78897536	0.91865057	0.800461	0.8521631	0.65528727	0.86963594	0.7521649	0.841589	0.8002682	0.68952787	0.8377438	0.90856767	0.88991255	0.8238828	0.9026773	0.9588478	0.8872907	0.81652474	0.7155752	0.7583723	0.8233652	0.7183714	0.63060725	0.6974671	0.7618191	0.7583873	0.75934756	0.7237146	0.58137226	0.90854853	0.6790003	0.59110713	0.81137335	0.71985763	0.79923356	0.7117526	0.9408233	0.701211	0.8462288	0.8506118	0.76266026	0.7200814	0.76107955	0.86972773	0.7968404	0.6481154	0.93487895	0.7936447	0.87304884	0.5679538	0.55582047	0.85203743	0.69660074	0.78758204	0.8373578	0.7974861	0.6555743	0.7378793	0.8919904	0.6964158	0.81033784	0.70505834	0.8845495	0.775799	0.8905726	0.8944046	0.66488934	0.79241836	0.77343154	0.9144497	0.8616874	0.83756316	0.9019757	0.9247193	0.59891456	0.6718159	0.717069	0.9113405	0.6946987	0.7752351	0.84573555
